ID,agency_id,State,agency_name,NSN,Item Name,Quantity,UI,Acquisition Value,acquisition_total,DEMIL Code,DEMIL IC,Ship Date,total_sworn,acq_per_sworn
4,0,NC,ABERDEEN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,27,5.111111111
61,13,NC,ARCHDALE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,25,5.52
83,24,NC,AVERY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,26,5.307692308
84,24,NC,AVERY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,26,5.307692308
85,24,NC,AVERY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,26,5.307692308
86,24,NC,AVERY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,26,5.307692308
87,24,NC,AVERY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,26,5.307692308
88,24,NC,AVERY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,26,5.307692308
89,24,NC,AVERY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,26,5.307692308
90,24,NC,AVERY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,26,5.307692308
464,63,NC,BRUNSWICK COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,156,0.884615385
465,63,NC,BRUNSWICK COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,156,0.884615385
554,70,NC,BURNSVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,8,17.25
555,70,NC,BURNSVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,8,17.25
761,110,NC,CLAY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,16,8.625
762,110,NC,CLAY COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,16,8.625
1004,131,NC,CURRITUCK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,64,2.15625
1005,131,NC,CURRITUCK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,64,2.15625
1006,131,NC,CURRITUCK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,64,2.15625
1007,131,NC,CURRITUCK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,64,2.15625
1008,131,NC,CURRITUCK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,64,2.15625
1049,137,NC,DAVIDSON COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,126,1.095238095
1050,137,NC,DAVIDSON COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,126,1.095238095
1051,137,NC,DAVIDSON COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,126,1.095238095
1052,137,NC,DAVIDSON COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,126,1.095238095
1053,137,NC,DAVIDSON COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,126,1.095238095
1054,137,NC,DAVIDSON COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,126,1.095238095
1055,137,NC,DAVIDSON COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,126,1.095238095
1056,137,NC,DAVIDSON COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,126,1.095238095
1200,150,NC,DURHAM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,517,0.266924565
1201,150,NC,DURHAM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,517,0.266924565
1202,150,NC,DURHAM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,517,0.266924565
1203,150,NC,DURHAM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,517,0.266924565
1204,150,NC,DURHAM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,517,0.266924565
1205,150,NC,DURHAM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,517,0.266924565
1234,158,NC,EDENTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,17,8.117647059
1235,158,NC,EDENTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,17,8.117647059
1236,158,NC,EDENTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,17,8.117647059
1237,158,NC,EDENTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,17,8.117647059
1238,158,NC,EDENTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,17,8.117647059
1377,182,NC,FOREST CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,31,4.451612903
1378,182,NC,FOREST CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,31,4.451612903
1379,182,NC,FOREST CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,31,4.451612903
1380,182,NC,FOREST CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,31,4.451612903
1515,201,NC,GASTONIA CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,170,0.811764706
1516,201,NC,GASTONIA CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,170,0.811764706
1517,201,NC,GASTONIA CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,170,0.811764706
1518,201,NC,GASTONIA CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,170,0.811764706
1571,218,NC,GREENVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,177,0.779661017
1572,218,NC,GREENVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,177,0.779661017
1573,218,NC,GREENVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,177,0.779661017
1574,218,NC,GREENVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,177,0.779661017
1575,218,NC,GREENVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,177,0.779661017
1576,218,NC,GREENVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,177,0.779661017
1577,218,NC,GREENVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,177,0.779661017
1578,218,NC,GREENVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,D,1,8/7/1993,177,0.779661017
