Department,Total received,Full-time officers,Per full-time officer
BETHEL POLICE DEPT,"$496,188.23 ",5,"$99,237.65 "
MAYSVILLE POLICE DEPT,"$143,715.59 ",3,"$47,905.20 "
CHEROKEE COUNTY SHERIFF DEPT,"$1,203,749.00 ",26,"$46,298.04 "
BRIDGETON POLICE DEPT,"$41,237.13 ",1,"$41,237.13 "
RICH SQUARE POLICE DEPT,"$78,894.41 ",2,"$39,447.21 "
ROANOKE RAPIDS POLICE DEPT,"$1,345,648.89 ",35,"$38,447.11 "
COATS POLICE DEPT,"$214,865.09 ",6,"$35,810.85 "
ANDREWS POLICE DEPT,"$171,041.57 ",5,"$34,208.31 "
DUCK POLICE DEPT,"$215,746.36 ",9,"$23,971.82 "
FOXFIRE VILLAGE POLICE DEPT,"$46,676.00 ",2,"$23,338.00 "
JONES COUNTY SHERIFF DEPT,"$320,204.74 ",16,"$20,012.80 "
CURRITUCK COUNTY SHERIFF DEPT,"$1,200,372.20 ",64,"$18,755.82 "
AYDEN POLICE DEPT,"$262,592.11 ",18,"$14,588.45 "
FARMVILLE POLICE DEPT,"$191,249.86 ",14,"$13,660.70 "
MURPHY POLICE DEPT,"$90,103.10 ",7,"$12,871.87 "
OAKBORO POLICE,"$68,942.42 ",6,"$11,490.40 "
AHOSKIE POLICE DEPT,"$144,741.00 ",14,"$10,338.64 "
MURFREESBORO POLICE DEPT,"$96,726.00 ",10,"$9,672.60 "
HOPE MILLS POLICE DEPT,"$307,971.00 ",35,"$8,799.17 "
MARS HILL POLICE DEPT,"$43,924.97 ",5,"$8,784.99 "
BUTNER PUBLIC SAFETY,"$251,186.00 ",31,"$8,102.77 "
FAIRMONT POLICE DEPT,"$82,122.00 ",11,"$7,465.64 "
DARE COUNTY SHERIFF DEPT,"$393,142.00 ",62,"$6,341.00 "
RANLO POLICE DEPT,"$41,551.26 ",7,"$5,935.89 "
HARNETT COUNTY SHERIFF DEPT,"$697,207.57 ",121,"$5,762.05 "
